,year,month,Trip ID
0,2018,11,5106
1,2018,12,8681042
2,2019,11,4634
3,2019,12,9241481
4,2020,11,575
5,2020,12,3126759
6,2021,11,987
7,2021,12,5046136
8,2022,11,1573
9,2022,12,6274076
