,year,month,Trip ID
0,2018,11,8780411
1,2019,10,3298
2,2019,11,9305447
3,2020,10,2210
4,2020,11,3004900
5,2021,10,1372
6,2021,11,4903719
7,2022,10,1266
8,2022,11,5998222
