,service_date,day_type,bus,rail_boardings,total_rides,day,year
110,07/24/2014,W,833052,790076,1623128,Thursday,2014
111,01/12/2015,W,871183,738697,1609880,Monday,2015
112,01/31/2015,A,551745,419577,971322,Saturday,2015
113,07/12/2014,A,497531,471216,968747,Saturday,2014
114,01/20/2015,W,913930,754946,1668876,Tuesday,2015
115,07/23/2014,W,838958,777929,1616887,Wednesday,2014
116,07/04/2014,U,478993,473842,952835,Friday,2014
117,07/05/2014,A,513494,439422,952916,Saturday,2014
118,07/06/2014,U,410521,354469,764990,Sunday,2014
119,01/08/2016,W,841494,732495,1573989,Friday,2016
120,01/16/2016,A,486797,404212,891009,Saturday,2016
121,01/09/2016,A,469539,391597,861136,Saturday,2016
122,01/10/2016,U,306896,263073,569969,Sunday,2016
123,02/06/2016,A,522296,423602,945898,Saturday,2016
124,01/23/2016,A,487975,416999,904974,Saturday,2016
125,01/26/2016,W,872768,764023,1636791,Tuesday,2016
126,02/16/2016,W,883108,764147,1647255,Tuesday,2016
127,02/25/2016,W,855117,762858,1617975,Thursday,2016
128,12/25/2016,U,199220,131542,330762,Sunday,2016
129,12/18/2016,U,270767,253184,523951,Sunday,2016
130,12/23/2016,W,676407,516584,1192991,Friday,2016
131,12/24/2016,A,391140,253926,645066,Saturday,2016
132,12/30/2016,W,628159,524474,1152633,Friday,2016
133,12/20/2016,W,758686,668762,1427448,Tuesday,2016
134,12/10/2016,A,472855,424387,897242,Saturday,2016
135,12/17/2016,A,445779,394366,840145,Saturday,2016
136,12/15/2016,W,617119,624213,1241332,Thursday,2016
137,12/26/2016,U,380189,292312,672501,Monday,2016
138,12/14/2016,W,734884,688959,1423843,Wednesday,2016
139,12/08/2016,W,790418,724726,1515144,Thursday,2016
140,12/07/2016,W,831766,745626,1577392,Wednesday,2016
141,12/31/2016,A,433952,361268,795220,Saturday,2016
142,03/01/2018,W,807973,724095,1532068,Thursday,2018
143,02/04/2018,U,279353,232906,512259,Sunday,2018
144,03/19/2018,W,807848,709194,1517042,Monday,2018
145,03/31/2018,A,428294,349132,777426,Saturday,2018
146,01/01/2018,U,199845,195520,395365,Monday,2018
147,03/20/2018,W,808168,710058,1518226,Tuesday,2018
148,03/11/2018,U,339755,286948,626703,Sunday,2018
149,02/20/2018,W,786356,718493,1504849,Tuesday,2018
150,02/21/2018,W,831241,740388,1571629,Wednesday,2018
151,01/02/2018,W,507648,514174,1021822,Tuesday,2018
152,01/10/2018,W,783008,695123,1478131,Wednesday,2018
153,12/20/2018,W,762587,682043,1444630,Thursday,2018
154,12/21/2018,W,727571,633479,1361050,Friday,2018
155,12/22/2018,A,442692,339426,782118,Saturday,2018
156,12/23/2018,U,330462,260130,590592,Sunday,2018
157,12/24/2018,W,422369,279324,701693,Monday,2018
158,12/25/2018,U,188696,127994,316690,Tuesday,2018
159,12/26/2018,W,515030,411993,927023,Wednesday,2018
160,12/27/2018,W,509948,453029,962977,Thursday,2018
161,12/28/2018,W,577497,493961,1071458,Friday,2018
162,12/29/2018,A,394088,307105,701193,Saturday,2018
163,12/30/2018,U,314550,265310,579860,Sunday,2018
164,12/31/2018,W,463165,386058,849223,Monday,2018
165,01/01/2019,U,248879,245852,494731,Tuesday,2019
166,01/02/2019,W,591006,573542,1164548,Wednesday,2019
167,01/03/2019,W,664442,627781,1292223,Thursday,2019
168,01/04/2019,W,668812,628514,1297326,Friday,2019
169,01/05/2019,A,444434,348257,792691,Saturday,2019
170,01/06/2019,U,318623,260556,579179,Sunday,2019
171,01/07/2019,W,723023,662470,1385493,Monday,2019
172,01/08/2019,W,784085,701693,1485778,Tuesday,2019
173,01/09/2019,W,747949,685444,1433393,Wednesday,2019
174,01/10/2019,W,747850,690162,1438012,Thursday,2019
175,01/11/2019,W,763718,679115,1442833,Friday,2019
176,01/12/2019,A,382464,325219,707683,Saturday,2019
177,01/13/2019,U,301855,250222,552077,Sunday,2019
178,01/14/2019,W,756590,705571,1462161,Monday,2019
179,01/15/2019,W,783113,720095,1503208,Tuesday,2019
180,01/16/2019,W,800537,728048,1528585,Wednesday,2019
181,01/17/2019,W,800348,734929,1535277,Thursday,2019
182,01/09/2020,W,758063,679244,1437307,Thursday,2020
183,01/10/2020,W,753866,654344,1408210,Friday,2020
184,01/11/2020,A,345787,281493,627280,Saturday,2020
185,01/12/2020,U,294457,237736,532193,Sunday,2020
186,01/13/2020,W,775861,699927,1475788,Monday,2020
187,01/14/2020,W,807239,720277,1527516,Tuesday,2020
188,01/15/2020,W,794821,720057,1514878,Wednesday,2020
189,01/16/2020,W,774375,715978,1490353,Thursday,2020
190,01/01/2021,U,114115,62077,176192,Friday,2021
191,01/02/2021,A,186877,91034,277911,Saturday,2021
192,01/03/2021,U,140440,72391,212831,Sunday,2021
193,01/04/2021,W,282862,132124,414986,Monday,2021
194,01/05/2021,W,281724,134514,416238,Tuesday,2021
195,01/06/2021,W,278317,136069,414386,Wednesday,2021
196,01/07/2021,W,270340,135092,405432,Thursday,2021
197,01/08/2021,W,272827,137181,410008,Friday,2021
198,01/09/2021,A,205370,101095,306465,Saturday,2021
199,01/01/2022,A,115581,116473,232054,Saturday,2022
200,01/02/2022,U,141100,114070,255170,Sunday,2022
201,01/03/2022,W,308893,184727,493620,Monday,2022
202,01/04/2022,W,343163,202963,546126,Tuesday,2022
203,01/05/2022,W,261752,177105,438857,Wednesday,2022
204,01/06/2022,W,256983,175465,432448,Thursday,2022
205,01/07/2022,W,246042,172216,418258,Friday,2022
206,01/08/2022,A,190569,133844,324413,Saturday,2022
207,01/09/2022,U,139413,102330,241743,Sunday,2022
