,year,month,Trip ID
0,2018,12,2371
1,2019,1,8784983
2,2019,12,4088
3,2020,1,8804875
4,2020,12,1355
5,2021,1,3355589
6,2021,12,2122
7,2022,1,4704329
8,2022,12,2755
