service_date,day_type,bus,rail_boardings,total_rides
01/07/2019,W,723023,662470,1385493
01/08/2019,W,784085,701693,1485778
01/09/2019,W,747949,685444,1433393
01/10/2019,W,747850,690162,1438012
01/11/2019,W,763718,679115,1442833
01/12/2019,A,382464,325219,707683
01/13/2019,U,301855,250222,552077
01/14/2019,W,756590,705571,1462161
01/15/2019,W,783113,720095,1503208
01/16/2019,W,800537,728048,1528585
01/17/2019,W,800348,734929,1535277
01/09/2020,W,758063,679244,1437307
01/10/2020,W,753866,654344,1408210
01/11/2020,A,345787,281493,627280
01/12/2020,U,294457,237736,532193
01/13/2020,W,775861,699927,1475788
01/14/2020,W,807239,720277,1527516
01/15/2020,W,794821,720057,1514878
01/16/2020,W,774375,715978,1490353
01/01/2021,U,114115,62077,176192
01/02/2021,A,186877,91034,277911
01/03/2021,U,140440,72391,212831
01/04/2021,W,282862,132124,414986
01/05/2021,W,281724,134514,416238
01/06/2021,W,278317,136069,414386
01/07/2021,W,270340,135092,405432
01/08/2021,W,272827,137181,410008
01/09/2021,A,205370,101095,306465
01/01/2022,A,115581,116473,232054
01/02/2022,U,141100,114070,255170
01/03/2022,W,308893,184727,493620
01/04/2022,W,343163,202963,546126
01/05/2022,W,261752,177105,438857
01/06/2022,W,256983,175465,432448
01/07/2022,W,246042,172216,418258
01/08/2022,A,190569,133844,324413
01/09/2022,U,139413,102330,241743
