,day,year,bus,rail_boardings,total_rides
127,Tuesday,2018,40912671,38027565,78940236
128,Tuesday,2019,40487282,37401185,77888467
129,Tuesday,2020,19818006,12566910,32384916
130,Tuesday,2021,19203940,12049121,31253061
131,Tuesday,2022,23857407,16896249,40753656
132,Wednesday,2001,49627806,31403519,81031325
133,Wednesday,2002,50413021,31243068,81656089
134,Wednesday,2003,48862829,31323712,80186541
135,Wednesday,2004,49196575,30780886,79977461
136,Wednesday,2005,50430203,31928378,82358581
137,Wednesday,2006,50327214,33339125,83666339
138,Wednesday,2007,51048629,32088752,83137381
139,Wednesday,2008,55357466,34105700,89463166
140,Wednesday,2009,52887251,34070775,86958026
141,Wednesday,2010,51331671,35272786,86604457
142,Wednesday,2011,55366108,39558580,94924688
143,Wednesday,2012,52309540,38180528,90490068
144,Wednesday,2013,49876053,37554102,87430155
145,Wednesday,2014,50526339,43502152,94028491
146,Wednesday,2015,45837301,40138268,85975569
147,Wednesday,2016,43123555,39645693,82769248
148,Wednesday,2017,42041167,38795522,80836689
149,Wednesday,2018,40966822,38120095,79086917
150,Wednesday,2019,39550939,36698379,76249318
151,Wednesday,2020,20065931,12838120,32904051
152,Wednesday,2021,19348379,12245439,31593818
153,Wednesday,2022,23628602,16856510,40485112
