service_date,total_rides
07/27/2004,1475299
07/28/2004,1465476
07/29/2004,1455728
07/30/2004,1517941
07/31/2004,1023738
08/01/2004,706648
08/02/2004,1426768
08/03/2004,1504181
08/04/2004,1424399
08/05/2004,1490747
08/06/2004,1494923
08/07/2004,928220
08/08/2004,668171
08/09/2004,1410352
08/10/2004,1444736
08/11/2004,1429178
08/12/2004,1422655
08/13/2004,1479239
08/14/2004,1019446
08/15/2004,668384
08/16/2004,1368273
08/17/2004,1395053
08/18/2004,1395987
08/19/2004,1422569
08/20/2004,1437059
08/21/2004,1021283
08/22/2004,747225
08/23/2004,1424057
08/24/2004,1386714
08/25/2004,1401740
08/26/2004,1447850
08/27/2004,1484418
08/28/2004,846333
08/29/2004,650898
08/30/2004,1452402
08/31/2004,1486553
09/01/2004,1571065
09/02/2004,1552922
09/03/2004,1564379
09/04/2004,980242
09/05/2004,723571
09/06/2004,641319
09/07/2004,1676739
09/08/2004,1688658
09/09/2004,1674095
09/10/2004,1705097
09/11/2004,993242
09/12/2004,706675
09/13/2004,1679310
09/14/2004,1694941
09/15/2004,1664629
09/16/2004,1651092
09/17/2004,1672291
09/18/2004,977288
09/19/2004,672627
09/20/2004,1656813
09/21/2004,1682361
09/22/2004,1662250
09/23/2004,1683331
09/24/2004,1658310
09/25/2004,950523
09/26/2004,651158
09/27/2004,1664435
09/28/2004,1684559
09/29/2004,1677687
09/30/2004,1680879
10/01/2004,1747807
10/02/2004,1046115
10/03/2004,702760
10/04/2004,1695160
10/05/2004,1693224
10/06/2004,1683180
10/07/2004,1705554
10/08/2004,1627306
10/09/2004,1020158
10/10/2004,772341
10/11/2004,1331340
10/12/2004,1685891
10/13/2004,1675388
10/14/2004,1673989
10/15/2004,1665359
10/16/2004,953292
10/17/2004,688138
10/18/2004,1606190
10/19/2004,1645222
10/20/2004,1647159
10/21/2004,1689657
10/22/2004,1671602
10/23/2004,909846
10/24/2004,664195
10/25/2004,1639402
10/26/2004,1643520
10/27/2004,1663685
10/28/2004,1663088
10/29/2004,1656310
10/30/2004,912223
10/31/2004,659933
11/01/2004,1541472
11/02/2004,1490563
11/03/2004,1701360
11/04/2004,1642545
11/05/2004,1692890
11/06/2004,978854
11/07/2004,649601
11/08/2004,1649729
11/09/2004,1665077
11/10/2004,1678444
11/11/2004,1361786
11/12/2004,1531534
11/13/2004,957093
11/14/2004,634847
11/15/2004,1618755
11/16/2004,1649408
11/17/2004,1638719
11/18/2004,1561706
11/19/2004,1644025
11/20/2004,999044
11/21/2004,657040
11/22/2004,1624151
11/23/2004,1635937
11/24/2004,1386602
11/25/2004,435354
11/26/2004,936658
11/27/2004,718856
11/28/2004,591480
11/29/2004,1550635
11/30/2004,1571329
12/01/2004,1646967
12/02/2004,1631544
12/03/2004,1675426
12/04/2004,973362
12/05/2004,656985
12/06/2004,1587992
12/07/2004,1535433
12/08/2004,1622248
12/09/2004,1614293
12/10/2004,1609194
12/11/2004,921531
12/12/2004,594267
12/13/2004,1485788
12/14/2004,1508090
12/15/2004,1559352
12/16/2004,1555578
12/17/2004,1551606
12/18/2004,889334
12/19/2004,501664
12/20/2004,1215424
12/21/2004,1292548
12/22/2004,1198797
12/23/2004,1079406
12/24/2004,617430
12/25/2004,301904
12/26/2004,479420
12/27/2004,1037373
12/28/2004,1137031
12/29/2004,1183468
12/30/2004,1196494
12/31/2004,998011
01/01/2005,530407
01/02/2005,557184
01/03/2005,1407191
01/04/2005,1532361
01/05/2005,1409924
01/06/2005,1417033
01/07/2005,1470043
01/08/2005,794926
01/09/2005,536596
01/10/2005,1564411
01/11/2005,1545306
01/12/2005,1561766
01/13/2005,1514305
01/14/2005,1446931
01/15/2005,731279
01/16/2005,484029
01/17/2005,888694
01/18/2005,1477650
01/19/2005,1530689
01/20/2005,1526860
01/21/2005,1560468
01/22/2005,685319
01/23/2005,533180
01/24/2005,1537517
01/25/2005,1587521
01/26/2005,1528449
01/27/2005,1542461
01/28/2005,1412335
01/29/2005,836601
01/30/2005,574841
01/31/2005,1575481
02/01/2005,1649598
02/02/2005,1646096
02/03/2005,1669230
02/04/2005,1658482
02/05/2005,982373
02/06/2005,609558
02/07/2005,1565715
02/08/2005,1599041
02/09/2005,1585235
02/10/2005,1608800
02/11/2005,1566111
02/12/2005,981669
02/13/2005,578744
02/14/2005,1612601
02/15/2005,1570997
02/16/2005,1605153
02/17/2005,1575472
02/18/2005,1566658
02/19/2005,928005
02/20/2005,557942
02/21/2005,1169415
02/22/2005,1603394
02/23/2005,1598030
02/24/2005,1581775
02/25/2005,1592879
02/26/2005,907733
02/27/2005,587690
02/28/2005,1522377
03/01/2005,1604714
03/02/2005,1571929
03/03/2005,1630610
03/04/2005,1616867
03/05/2005,929164
03/06/2005,669802
03/07/2005,1348144
03/08/2005,1607866
03/09/2005,1594366
03/10/2005,1527358
03/11/2005,1582343
03/12/2005,899759
03/13/2005,598449
03/14/2005,1563057
03/15/2005,1623780
03/16/2005,1618930
03/17/2005,1595300
03/18/2005,1610668
03/19/2005,923676
03/20/2005,624741
03/21/2005,1393504
03/22/2005,1415912
03/23/2005,1382426
03/24/2005,1392509
03/25/2005,1173238
03/26/2005,817075
03/27/2005,564310
03/28/2005,1536805
03/29/2005,1600206
03/30/2005,1522638
03/31/2005,1555982
04/01/2005,1651875
04/02/2005,985529
04/03/2005,669901
04/04/2005,1643751
04/05/2005,1660602
04/06/2005,1616276
04/07/2005,1613880
04/08/2005,1676962
04/09/2005,992667
04/10/2005,683983
04/11/2005,1629367
04/12/2005,1535881
04/13/2005,1646969
04/14/2005,1642810
04/15/2005,1555839
04/16/2005,969458
04/17/2005,653955
04/18/2005,1624922
04/19/2005,1633479
04/20/2005,1563876
04/21/2005,1555754
04/22/2005,1514921
04/23/2005,838135
04/24/2005,622221
04/25/2005,1614515
04/26/2005,1622210
04/27/2005,1553304
04/28/2005,1549589
04/29/2005,1644980
04/30/2005,950377
05/01/2005,621653
05/02/2005,1585498
05/03/2005,1655891
05/04/2005,1648973
05/05/2005,1666196
05/06/2005,1653304
05/07/2005,954551
05/08/2005,684404
05/09/2005,1554186
05/10/2005,1668235
05/11/2005,1500568
05/12/2005,1581683
05/13/2005,1577870
05/14/2005,940362
05/15/2005,618716
05/16/2005,1604497
05/17/2005,1620923
05/18/2005,1608255
05/19/2005,1544681
05/20/2005,1654561
05/21/2005,1000816
05/22/2005,685137
05/23/2005,1610603
05/24/2005,1653038
05/25/2005,1631137
05/26/2005,1627436
05/27/2005,1603115
05/28/2005,940400
05/29/2005,677409
05/30/2005,635777
05/31/2005,1560369
06/01/2005,1655026
06/02/2005,1619241
06/03/2005,1665867
06/04/2005,943947
06/05/2005,685326
06/06/2005,1631601
06/07/2005,1631902
06/08/2005,1616693
06/09/2005,1622856
06/10/2005,1652574
06/11/2005,1060955
06/12/2005,734408
06/13/2005,1601895
06/14/2005,1591877
06/15/2005,1579055
06/16/2005,1535286
06/17/2005,1609908
06/18/2005,982523
06/19/2005,703504
06/20/2005,1472040
06/21/2005,1496117
06/22/2005,1498395
06/23/2005,1481990
06/24/2005,1513226
06/25/2005,1028640
06/26/2005,811073
06/27/2005,1459569
06/28/2005,1502828
06/29/2005,1509857
06/30/2005,1525921
07/01/2005,1607890
07/02/2005,1150123
07/03/2005,1076775
07/04/2005,700994
07/05/2005,1483630
07/06/2005,1516767
07/07/2005,1507755
07/08/2005,1541547
07/09/2005,954573
07/10/2005,684331
07/11/2005,1486288
07/12/2005,1494420
07/13/2005,1519412
07/14/2005,1570791
07/15/2005,1568436
07/16/2005,1038755
07/17/2005,714655
07/18/2005,1485180
07/19/2005,1545711
07/20/2005,1485917
07/21/2005,1531443
07/22/2005,1559977
07/23/2005,965905
07/24/2005,649533
07/25/2005,1431122
07/26/2005,1464321
07/27/2005,1558451
07/28/2005,1550095
07/29/2005,1546792
07/30/2005,1025964
07/31/2005,707823
08/01/2005,1528636
08/02/2005,1539556
08/03/2005,1549791
08/04/2005,1538683
08/05/2005,1569100
08/06/2005,1006089
08/07/2005,718988
08/08/2005,1501307
08/09/2005,1523941
08/10/2005,1519206
08/11/2005,1448363
08/12/2005,1536173
08/13/2005,958918
08/14/2005,685989
08/15/2005,1466656
08/16/2005,1493555
08/17/2005,1499658
08/18/2005,1416554
08/19/2005,1536831
08/20/2005,1020933
08/21/2005,804033
08/22/2005,1494993
08/23/2005,1524415
08/24/2005,1525596
08/25/2005,1498363
08/26/2005,1541578
08/27/2005,997141
08/28/2005,718734
08/29/2005,1534350
08/30/2005,1556744
08/31/2005,1559709
09/01/2005,1663226
09/02/2005,1648068
09/03/2005,1076629
09/04/2005,827972
09/05/2005,743581
09/06/2005,1742057
09/07/2005,1754888
09/08/2005,1761943
09/09/2005,1765562
09/10/2005,1042154
09/11/2005,717645
09/12/2005,1763661
09/13/2005,1772116
09/14/2005,1760330
09/15/2005,1772427
09/16/2005,1750874
09/17/2005,1081745
09/18/2005,766917
09/19/2005,1691558
09/20/2005,1777009
09/21/2005,1771253
09/22/2005,1718456
09/23/2005,1768443
09/24/2005,1023068
09/25/2005,706096
09/26/2005,1701752
09/27/2005,1778687
09/28/2005,1687590
09/29/2005,1734276
09/30/2005,1788297
10/01/2005,1081330
10/02/2005,697110
10/03/2005,1776630
10/04/2005,1777461
10/05/2005,1789266
10/06/2005,1764494
10/07/2005,1700940
10/08/2005,1016454
10/09/2005,799580
10/10/2005,1373585
10/11/2005,1763356
10/12/2005,1739320
10/13/2005,1734603
10/14/2005,1774400
10/15/2005,1047313
10/16/2005,725230
10/17/2005,1700418
10/18/2005,1740324
10/19/2005,1723142
10/20/2005,1734015
10/21/2005,1738349
10/22/2005,1010001
10/23/2005,698839
10/24/2005,1633227
10/25/2005,1688189
10/26/2005,1703439
10/27/2005,1709373
10/28/2005,1784750
10/29/2005,1024705
10/30/2005,687529
10/31/2005,1637675
11/01/2005,1773536
11/02/2005,1745242
11/03/2005,1787522
11/04/2005,1648024
11/05/2005,976539
11/06/2005,664862
11/07/2005,1708950
11/08/2005,1641001
11/09/2005,1690170
11/10/2005,1722060
11/11/2005,1450054
11/12/2005,977974
11/13/2005,664118
11/14/2005,1659095
11/15/2005,1646630
11/16/2005,1586477
11/17/2005,1618595
11/18/2005,1632901
11/19/2005,1038987
11/20/2005,667874
11/21/2005,1651404
11/22/2005,1650101
11/23/2005,1541056
11/24/2005,415220
11/25/2005,877822
11/26/2005,811134
11/27/2005,593380
11/28/2005,1575056
11/29/2005,1585964
11/30/2005,1599116
12/01/2005,1640113
12/02/2005,1638872
12/03/2005,946853
12/04/2005,627600
12/05/2005,1550991
12/06/2005,1538950
12/07/2005,1513576
12/08/2005,1552089
12/09/2005,1552639
12/10/2005,876965
12/11/2005,608413
12/12/2005,1578496
12/13/2005,1597117
12/14/2005,1588963
12/15/2005,1593990
12/16/2005,1558308
12/17/2005,902808
12/18/2005,593710
12/19/2005,1396747
12/20/2005,1429740
12/21/2005,1471801
12/22/2005,1456560
12/23/2005,1357376
12/24/2005,679882
12/25/2005,368876
12/26/2005,662461
12/27/2005,1193029
12/28/2005,1174430
12/29/2005,1219269
12/30/2005,1234247
12/31/2005,833685
01/01/2006,490417
01/02/2006,576193
01/03/2006,1312512
01/04/2006,1302843
01/05/2006,1316845
01/06/2006,1339946
01/07/2006,798775
01/08/2006,567618
01/09/2006,1506104
01/10/2006,1538726
01/11/2006,1529994
01/12/2006,1572177
01/13/2006,1472371
01/14/2006,868194
01/15/2006,604724
01/16/2006,1005334
01/17/2006,1568082
01/18/2006,1575666
01/19/2006,1617130
01/20/2006,1560114
01/21/2006,851118
01/22/2006,579738
01/23/2006,1603280
01/24/2006,1607097
01/25/2006,1615434
01/26/2006,1631450
01/27/2006,1497843
01/28/2006,882712
01/29/2006,603222
01/30/2006,1581522
01/31/2006,1629989
02/01/2006,1677088
02/02/2006,1668219
02/03/2006,1647741
02/04/2006,904807
02/05/2006,602453
02/06/2006,1598154
02/07/2006,1640070
02/08/2006,1607129
02/09/2006,1619983
02/10/2006,1627422
02/11/2006,929004
02/12/2006,627066
02/13/2006,1345743
02/14/2006,1688805
02/15/2006,1614117
02/16/2006,1543535
02/17/2006,1546723
02/18/2006,716227
02/19/2006,531723
02/20/2006,1135147
02/21/2006,1617048
02/22/2006,1628758
02/23/2006,1626159
02/24/2006,1603024
02/25/2006,894655
02/26/2006,597630
02/27/2006,1562240
02/28/2006,1610432
03/01/2006,1647794
03/02/2006,1607162
03/03/2006,1641935
03/04/2006,931653
03/05/2006,571824
03/06/2006,1344615
03/07/2006,1632652
03/08/2006,1606269
03/09/2006,1606904
03/10/2006,1736823
03/11/2006,1000324
03/12/2006,634425
03/13/2006,1578336
03/14/2006,1630829
03/15/2006,1638500
03/16/2006,1583926
03/17/2006,1623495
03/18/2006,951011
03/19/2006,639427
03/20/2006,1550117
03/21/2006,1529239
03/22/2006,1588169
03/23/2006,1588942
03/24/2006,1576367
03/25/2006,943614
03/26/2006,668511
03/27/2006,1563694
03/28/2006,1600833
03/29/2006,1624448
03/30/2006,1597528
03/31/2006,1669203
04/01/2006,968794
04/02/2006,646243
04/03/2006,1601563
04/04/2006,1703191
04/05/2006,1674256
04/06/2006,1634073
04/07/2006,1515679
04/08/2006,967824
04/09/2006,685180
04/10/2006,1481762
04/11/2006,1513403
04/12/2006,1505098
04/13/2006,1505943
04/14/2006,1356305
04/15/2006,916096
04/16/2006,506750
04/17/2006,1588048
04/18/2006,1647274
04/19/2006,1636514
04/20/2006,1580180
04/21/2006,1658935
04/22/2006,964710
04/23/2006,664132
04/24/2006,1641271
04/25/2006,1589163
04/26/2006,1602570
04/27/2006,1599068
04/28/2006,1675521
04/29/2006,917282
04/30/2006,569409
05/01/2006,1736839
05/02/2006,1710179
05/03/2006,1724186
05/04/2006,1713101
05/05/2006,1675755
05/06/2006,1006295
05/07/2006,697450
05/08/2006,1634609
05/09/2006,1654511
05/10/2006,1656284
05/11/2006,1547793
05/12/2006,1597861
05/13/2006,928437
05/14/2006,661513
05/15/2006,1563695
05/16/2006,1643420
05/17/2006,1604835
05/18/2006,1640304
05/19/2006,1645439
05/20/2006,984933
05/21/2006,682710
05/22/2006,1626382
05/23/2006,1660941
05/24/2006,1583362
05/25/2006,1617927
05/26/2006,1646067
05/27/2006,1005404
05/28/2006,744475
05/29/2006,626416
05/30/2006,1578221
05/31/2006,1615111
06/01/2006,1666238
06/02/2006,1679584
06/03/2006,1040360
06/04/2006,732238
06/05/2006,1630687
06/06/2006,1661145
06/07/2006,1678270
06/08/2006,1687081
06/09/2006,1640590
06/10/2006,923229
06/11/2006,692394
06/12/2006,1584426
06/13/2006,1626462
06/14/2006,1607207
06/15/2006,1566744
06/16/2006,1634076
06/17/2006,1000807
06/18/2006,672254
06/19/2006,1489631
06/20/2006,1526567
06/21/2006,1488970
06/22/2006,1505040
06/23/2006,1544607
06/24/2006,979761
06/25/2006,709798
06/26/2006,1479741
06/27/2006,1529069
06/28/2006,1536307
06/29/2006,1566936
06/30/2006,1666189
07/01/2006,1060613
07/02/2006,783985
07/03/2006,1486209
07/04/2006,800598
07/05/2006,1562758
07/06/2006,1603721
07/07/2006,1631487
07/08/2006,1048875
07/09/2006,756607
07/10/2006,1519058
07/11/2006,1478762
07/12/2006,1541482
07/13/2006,1566980
07/14/2006,1559408
07/15/2006,1015162
07/16/2006,726451
07/17/2006,1513455
07/18/2006,1602715
07/19/2006,1599595
07/20/2006,1471352
07/21/2006,1608069
07/22/2006,1033780
07/23/2006,731070
07/24/2006,1539909
07/25/2006,1569583
07/26/2006,1539027
07/27/2006,1558380
07/28/2006,1573933
07/29/2006,1016280
07/30/2006,707296
07/31/2006,1440000
08/01/2006,1514014
08/02/2006,1500545
08/03/2006,1567077
08/04/2006,1674056
08/05/2006,1117531
08/06/2006,809274
08/07/2006,1538341
08/08/2006,1563683
08/09/2006,1550699
08/10/2006,1471003
08/11/2006,1547361
08/12/2006,1044320
08/13/2006,702000
08/14/2006,1453289
08/15/2006,1506586
08/16/2006,1499734
08/17/2006,1502952
08/18/2006,1508293
08/19/2006,997052
08/20/2006,802884
08/21/2006,1492558
08/22/2006,1525618
08/23/2006,1524243
08/24/2006,1449211
08/25/2006,1541378
08/26/2006,953992
08/27/2006,693258
08/28/2006,1380323
08/29/2006,1529833
08/30/2006,1563804
08/31/2006,1571539
09/01/2006,1640746
09/02/2006,1074490
09/03/2006,809281
09/04/2006,661738
09/05/2006,1736704
09/06/2006,1776284
09/07/2006,1770152
09/08/2006,1694651
09/09/2006,995209
09/10/2006,624818
09/11/2006,1637967
09/12/2006,1725576
09/13/2006,1686366
09/14/2006,1773959
09/15/2006,1790393
09/16/2006,1073386
09/17/2006,728148
09/18/2006,1726460
09/19/2006,1732015
09/20/2006,1753667
09/21/2006,1740663
09/22/2006,1662004
09/23/2006,934448
09/24/2006,679923
09/25/2006,1707520
09/26/2006,1750366
09/27/2006,1725839
09/28/2006,1720167
09/29/2006,1757397
09/30/2006,1031186
10/01/2006,758991
10/02/2006,1617834
10/03/2006,1746155
10/04/2006,1702321
10/05/2006,1759133
10/06/2006,1747033
10/07/2006,1015197
10/08/2006,736247
10/09/2006,1378819
10/10/2006,1739496
10/11/2006,1706763
10/12/2006,1675508
10/13/2006,1695380
10/14/2006,1008653
10/15/2006,680142
10/16/2006,1679481
10/17/2006,1713614
10/18/2006,1722956
10/19/2006,1725456
10/20/2006,1737733
10/21/2006,1034952
10/22/2006,765664
10/23/2006,1678039
10/24/2006,1719021
10/25/2006,1721400
10/26/2006,1653560
10/27/2006,1671194
10/28/2006,986934
10/29/2006,700448
10/30/2006,1694034
10/31/2006,1660835
11/01/2006,1727026
11/02/2006,1683100
11/03/2006,1613997
11/04/2006,965910
11/05/2006,702503
11/06/2006,1680192
11/07/2006,1684643
11/08/2006,1721821
11/09/2006,1669379
11/10/2006,1546390
11/11/2006,968164
11/12/2006,669347
11/13/2006,1650572
11/14/2006,1716302
11/15/2006,1701643
11/16/2006,1656841
11/17/2006,1683201
11/18/2006,1023639
11/19/2006,660238
11/20/2006,1660997
11/21/2006,1674200
11/22/2006,1597535
11/23/2006,500364
11/24/2006,1021928
11/25/2006,867525
11/26/2006,635553
11/27/2006,1640990
11/28/2006,1678494
11/29/2006,1610736
11/30/2006,1635195
12/01/2006,1542090
12/02/2006,933646
12/03/2006,600180
12/04/2006,1568213
12/05/2006,1613098
12/06/2006,1645177
12/07/2006,1525692
12/08/2006,1578739
12/09/2006,934440
12/10/2006,643294
12/11/2006,1605286
12/12/2006,1604465
12/13/2006,1660843
12/14/2006,1634371
12/15/2006,1634816
12/16/2006,988974
12/17/2006,684712
12/18/2006,1582429
12/19/2006,1616123
12/20/2006,1561274
12/21/2006,1488977
12/22/2006,1435574
12/23/2006,855962
12/24/2006,567773
12/25/2006,355224
12/26/2006,1030257
12/27/2006,1193622
12/28/2006,1245592
12/29/2006,1316371
12/30/2006,899982
12/31/2006,705410
01/01/2007,545995
01/02/2007,1224646
01/03/2007,1432970
01/04/2007,1363888
01/05/2007,1432070
01/06/2007,885870
01/07/2007,592814
01/08/2007,1570811
01/09/2007,1577323
01/10/2007,1567761
01/11/2007,1569412
01/12/2007,1576847
01/13/2007,870874
01/14/2007,586719
01/15/2007,994239
01/16/2007,1598227
01/17/2007,1596422
01/18/2007,1602816
01/19/2007,1595963
01/20/2007,893147
01/21/2007,578926
01/22/2007,1618827
01/23/2007,1641638
01/24/2007,1636119
01/25/2007,1618349
01/26/2007,1502441
01/27/2007,892857
01/28/2007,544371
01/29/2007,1540028
01/30/2007,1556346
01/31/2007,1542198
02/01/2007,1624302
02/02/2007,1543053
02/03/2007,701955
02/04/2007,429222
02/05/2007,1262247
02/06/2007,1415335
02/07/2007,1526206
02/08/2007,1540105
02/09/2007,1526453
02/10/2007,838132
02/11/2007,570921
02/12/2007,1324057
02/13/2007,1412568
02/14/2007,1481243
02/15/2007,1538003
02/16/2007,1517639
02/17/2007,869414
02/18/2007,621315
02/19/2007,1203272
02/20/2007,1657000
02/21/2007,1667853
02/22/2007,1650077
02/23/2007,1617512
02/24/2007,847338
02/25/2007,527460
02/26/2007,1551105
02/27/2007,1608159
02/28/2007,1615206
03/01/2007,1607309
03/02/2007,1558282
03/03/2007,886929
03/04/2007,615027
03/05/2007,1419628
03/06/2007,1616344
03/07/2007,1611327
03/08/2007,1645067
03/09/2007,1638037
03/10/2007,988405
03/11/2007,673118
03/12/2007,1622601
03/13/2007,1701629
03/14/2007,1641415
03/15/2007,1647037
03/16/2007,1658706
03/17/2007,1054802
03/18/2007,656476
03/19/2007,1615177
03/20/2007,1652095
03/21/2007,1567771
03/22/2007,1645896
03/23/2007,1599482
03/24/2007,946236
03/25/2007,709328
03/26/2007,1616085
03/27/2007,1616576
03/28/2007,1589819
03/29/2007,1640529
03/30/2007,1658989
03/31/2007,931110
04/01/2007,647795
04/02/2007,1511596
04/03/2007,1497149
04/04/2007,1440808
04/05/2007,1470116
04/06/2007,1330916
04/07/2007,827888
04/08/2007,563922
04/09/2007,1603191
04/10/2007,1678866
04/11/2007,1507618
04/12/2007,1633483
04/13/2007,1568229
04/14/2007,968630
04/15/2007,698373
04/16/2007,1679617
04/17/2007,1690039
04/18/2007,1648749
04/19/2007,1605442
04/20/2007,1697276
04/21/2007,1043740
04/22/2007,745895
04/23/2007,1638964
04/24/2007,1685543
04/25/2007,1532141
04/26/2007,1559887
04/27/2007,1635418
04/28/2007,977733
04/29/2007,705464
04/30/2007,1630388
05/01/2007,1777106
05/02/2007,1685013
05/03/2007,1734208
05/04/2007,1724467
05/05/2007,1025581
05/06/2007,737682
05/07/2007,1669911
05/08/2007,1727955
05/09/2007,1706644
05/10/2007,1720803
05/11/2007,1718939
05/12/2007,989030
05/13/2007,670565
05/14/2007,1604356
05/15/2007,1604010
05/16/2007,1653301
05/17/2007,1670149
05/18/2007,1688044
05/19/2007,1028026
05/20/2007,655470
05/21/2007,1654230
05/22/2007,1671748
05/23/2007,1651431
05/24/2007,1626603
05/25/2007,1606252
05/26/2007,864409
05/27/2007,722469
05/28/2007,670191
05/29/2007,1647397
05/30/2007,1693147
05/31/2007,1609984
06/01/2007,1734099
06/02/2007,1047879
06/03/2007,725004
06/04/2007,1599867
06/05/2007,1710887
06/06/2007,1688731
06/07/2007,1697659
06/08/2007,1679334
06/09/2007,1064228
06/10/2007,758273
06/11/2007,1645168
06/12/2007,1676289
06/13/2007,1610380
06/14/2007,1597089
06/15/2007,1689961
06/16/2007,996909
06/17/2007,722093
06/18/2007,1488592
06/19/2007,1573305
06/20/2007,1578379
06/21/2007,1568578
06/22/2007,1538738
06/23/2007,913242
06/24/2007,798026
06/25/2007,1541790
06/26/2007,1511307
06/27/2007,1532778
06/28/2007,1547913
06/29/2007,1677556
06/30/2007,1127817
07/01/2007,849749
07/02/2007,1599208
07/03/2007,1896766
07/04/2007,836677
07/05/2007,1589024
07/06/2007,1652716
07/07/2007,1038943
07/08/2007,731739
07/09/2007,1484709
07/10/2007,1549775
07/11/2007,1603650
07/12/2007,1593642
07/13/2007,1632652
07/14/2007,1071100
07/15/2007,778956
07/16/2007,1566924
07/17/2007,1582486
07/18/2007,1594556
07/19/2007,1583829
07/20/2007,1615199
07/21/2007,1051801
07/22/2007,747144
07/23/2007,1551257
07/24/2007,1559929
07/25/2007,1565936
07/26/2007,1543626
07/27/2007,1549104
07/28/2007,1021923
07/29/2007,730635
07/30/2007,1538196
07/31/2007,1583616
08/01/2007,1618406
08/02/2007,1595813
08/03/2007,1669115
08/04/2007,1068493
08/05/2007,790014
08/06/2007,1500125
08/07/2007,1540243
08/08/2007,1509720
08/09/2007,1532001
08/10/2007,1560101
08/11/2007,1089209
08/12/2007,735230
08/13/2007,1475645
08/14/2007,1510791
08/15/2007,1509579
08/16/2007,1530932
08/17/2007,1570200
08/18/2007,981411
08/19/2007,625807
08/20/2007,1466689
08/21/2007,1528065
08/22/2007,1531062
08/23/2007,1427537
08/24/2007,1492033
08/25/2007,1023043
08/26/2007,765973
08/27/2007,1561672
08/28/2007,1634771
08/29/2007,1602063
08/30/2007,1635135
08/31/2007,1687093
09/01/2007,1110332
09/02/2007,835647
09/03/2007,736652
09/04/2007,1762227
09/05/2007,1787396
09/06/2007,1758164
09/07/2007,1712771
09/08/2007,1074532
09/09/2007,751174
09/10/2007,1748830
09/11/2007,1788555
09/12/2007,1770776
09/13/2007,1738406
09/14/2007,1739526
09/15/2007,1021530
09/16/2007,728393
09/17/2007,1755739
09/18/2007,1793523
09/19/2007,1791671
09/20/2007,1767887
09/21/2007,1775274
09/22/2007,1040121
09/23/2007,750557
09/24/2007,1715149
09/25/2007,1729922
09/26/2007,1669712
09/27/2007,1769158
09/28/2007,1761043
09/29/2007,1037455
09/30/2007,703021
10/01/2007,1741260
10/02/2007,1799395
10/03/2007,1820034
10/04/2007,1804274
10/05/2007,1789774
10/06/2007,1124183
10/07/2007,844900
10/08/2007,1420709
10/09/2007,1792469
10/10/2007,1741497
10/11/2007,1755372
10/12/2007,1751482
10/13/2007,996345
10/14/2007,687644
10/15/2007,1738754
10/16/2007,1749896
10/17/2007,1764907
10/18/2007,1723370
10/19/2007,1628970
10/20/2007,1084360
10/21/2007,743663
10/22/2007,1704602
10/23/2007,1751665
10/24/2007,1743784
10/25/2007,1745104
10/26/2007,1721060
10/27/2007,1009353
10/28/2007,706013
10/29/2007,1689231
10/30/2007,1742853
10/31/2007,1682698
11/01/2007,1764635
11/02/2007,1659574
11/03/2007,1049997
11/04/2007,715400
11/05/2007,1719583
11/06/2007,1718582
11/07/2007,1653856
11/08/2007,1722144
11/09/2007,1696631
11/10/2007,1023117
11/11/2007,679035
11/12/2007,1394933
11/13/2007,1755924
11/14/2007,1726279
11/15/2007,1709866
11/16/2007,1709327
11/17/2007,1025393
11/18/2007,676584
11/19/2007,1673705
11/20/2007,1693769
11/21/2007,1511785
11/22/2007,452337
11/23/2007,975259
11/24/2007,827196
11/25/2007,617258
11/26/2007,1621958
11/27/2007,1674469
11/28/2007,1657715
11/29/2007,1641128
11/30/2007,1696222
12/01/2007,913842
12/02/2007,643077
12/03/2007,1670117
12/04/2007,1707664
12/05/2007,1648069
12/06/2007,1649546
12/07/2007,1566507
12/08/2007,962962
12/09/2007,639333
12/10/2007,1633692
12/11/2007,1607673
12/12/2007,1667255
12/13/2007,1655775
12/14/2007,1656670
12/15/2007,923662
12/16/2007,627832
12/17/2007,1532409
12/18/2007,1592129
12/19/2007,1615538
12/20/2007,1594754
12/21/2007,1577957
12/22/2007,904034
12/23/2007,532455
12/24/2007,783825
12/25/2007,361281
12/26/2007,1107330
12/27/2007,1236445
12/28/2007,1211637
12/29/2007,824817
12/30/2007,644216
12/31/2007,1075190
01/01/2008,469814
01/02/2008,1170390
01/03/2008,1301442
01/04/2008,1388634
01/05/2008,849103
01/06/2008,622776
01/07/2008,1576577
01/08/2008,1583229
01/09/2008,1627704
01/10/2008,1600887
01/11/2008,1624796
01/12/2008,903934
01/13/2008,594025
01/14/2008,1603615
01/15/2008,1629641
01/16/2008,1668077
01/17/2008,1618431
01/18/2008,1545291
01/19/2008,646125
01/20/2008,460046
01/21/2008,994640
01/22/2008,1607717
01/23/2008,1580031
01/24/2008,1499277
01/25/2008,1425039
01/26/2008,866064
01/27/2008,626758
01/28/2008,1649104
01/29/2008,1639157
01/30/2008,1462671
01/31/2008,1587861
02/01/2008,1504685
02/02/2008,948351
02/03/2008,633104
02/04/2008,1613016
02/05/2008,1691269
02/06/2008,1534619
02/07/2008,1661885
02/08/2008,1654805
02/09/2008,947163
02/10/2008,476460
02/11/2008,1378512
02/12/2008,1373374
02/13/2008,1669749
02/14/2008,1715230
02/15/2008,1654490
02/16/2008,986749
02/17/2008,630704
02/18/2008,1172584
