service_date,total_rides
10/25/2001,1565448
10/26/2001,1594980
10/27/2001,874135
10/28/2001,613855
10/29/2001,1643028
10/30/2001,1623508
10/31/2001,1607172
11/01/2001,1670898
11/02/2001,1688680
11/03/2001,963354
11/04/2001,666441
11/05/2001,1687561
11/06/2001,1682926
11/07/2001,1674378
11/08/2001,1640974
11/09/2001,1552106
11/10/2001,940977
11/11/2001,635049
11/12/2001,1339989
11/13/2001,1667816
11/14/2001,1618624
11/15/2001,1598953
11/16/2001,1670033
11/17/2001,1008038
11/18/2001,615882
11/19/2001,1600838
11/20/2001,1617972
11/21/2001,1578084
11/22/2001,474703
11/23/2001,998426
11/24/2001,757962
11/25/2001,560171
11/26/2001,1594193
11/27/2001,1599441
11/28/2001,1596247
11/29/2001,1585547
11/30/2001,1664119
12/01/2001,948611
12/02/2001,629626
12/03/2001,1650328
12/04/2001,1662710
12/05/2001,1662204
12/06/2001,1643449
12/07/2001,1642043
12/08/2001,935713
12/09/2001,614614
12/10/2001,1602792
12/11/2001,1624849
12/12/2001,1590919
12/13/2001,1601011
12/14/2001,1583784
12/15/2001,942189
12/16/2001,620795
12/17/2001,1588374
12/18/2001,1623327
12/19/2001,1550605
12/20/2001,1574399
12/21/2001,1563955
12/22/2001,855223
12/23/2001,577987
12/24/2001,782930
12/25/2001,312397
12/26/2001,1000031
12/27/2001,1127279
12/28/2001,1196283
12/29/2001,697966
12/30/2001,466973
12/31/2001,972182
01/01/2002,416831
01/02/2002,1258483
01/03/2002,1361380
01/04/2002,1387558
01/05/2002,788290
01/06/2002,548114
01/07/2002,1522736
01/08/2002,1558867
01/09/2002,1577293
01/10/2002,1565930
01/11/2002,1598253
01/12/2002,832781
01/13/2002,547650
01/14/2002,1579573
01/15/2002,1584579
01/16/2002,1563767
01/17/2002,1566997
01/18/2002,1549261
01/19/2002,829812
01/20/2002,554972
01/21/2002,1041306
01/22/2002,1616442
01/23/2002,1590911
01/24/2002,1613192
01/25/2002,1629784
01/26/2002,894845
01/27/2002,597994
01/28/2002,1605529
01/29/2002,1577317
01/30/2002,1538750
01/31/2002,1482883
02/01/2002,1539794
02/02/2002,888498
02/03/2002,581977
02/04/2002,1564432
02/05/2002,1594271
02/06/2002,1609397
02/07/2002,1612646
02/08/2002,1621538
02/09/2002,946488
02/10/2002,559710
02/11/2002,1577132
02/12/2002,1353381
02/13/2002,1632301
02/14/2002,1623828
02/15/2002,1597391
02/16/2002,910142
02/17/2002,633183
02/18/2002,1217537
02/19/2002,1582764
02/20/2002,1587975
02/21/2002,1581077
02/22/2002,1608491
02/23/2002,922373
02/24/2002,620503
02/25/2002,1561455
02/26/2002,1521122
02/27/2002,1527243
02/28/2002,1533181
03/01/2002,1567078
03/02/2002,777614
03/03/2002,506605
03/04/2002,1220440
03/05/2002,1567600
03/06/2002,1601341
03/07/2002,1603054
03/08/2002,1581579
03/09/2002,747817
03/10/2002,542159
03/11/2002,1599706
03/12/2002,1633837
03/13/2002,1637863
03/14/2002,1618205
03/15/2002,1597069
03/16/2002,957201
03/17/2002,579984
03/18/2002,1572399
03/19/2002,1581091
03/20/2002,1584646
03/21/2002,1505469
03/22/2002,1526262
03/23/2002,907328
03/24/2002,561842
03/25/2002,1440414
03/26/2002,1509955
03/27/2002,1570117
03/28/2002,1536790
03/29/2002,1227506
03/30/2002,885114
03/31/2002,535161
04/01/2002,1538023
04/02/2002,1555692
04/03/2002,1604181
04/04/2002,1596005
04/05/2002,1628141
04/06/2002,957811
04/07/2002,535979
04/08/2002,1515977
04/09/2002,1620153
04/10/2002,1639958
04/11/2002,1665254
04/12/2002,1508731
04/13/2002,940202
04/14/2002,649776
04/15/2002,1512472
04/16/2002,1499802
04/17/2002,1485717
04/18/2002,1491145
04/19/2002,1497519
04/20/2002,874186
04/21/2002,546549
04/22/2002,1557348
04/23/2002,1642251
04/24/2002,1520806
04/25/2002,1626973
04/26/2002,1641372
04/27/2002,785815
04/28/2002,566519
04/29/2002,1586113
04/30/2002,1605025
05/01/2002,1636730
05/02/2002,1574478
05/03/2002,1682207
05/04/2002,972358
05/05/2002,651828
05/06/2002,1592368
05/07/2002,1626719
05/08/2002,1568944
05/09/2002,1623473
05/10/2002,1656716
05/11/2002,745342
05/12/2002,544377
05/13/2002,1545853
05/14/2002,1608117
05/15/2002,1616218
05/16/2002,1485967
05/17/2002,1574887
05/18/2002,937589
05/19/2002,623855
05/20/2002,1576758
05/21/2002,1622513
05/22/2002,1618227
05/23/2002,1575373
05/24/2002,1571895
05/25/2002,829563
05/26/2002,652742
05/27/2002,596086
05/28/2002,1548479
05/29/2002,1581625
05/30/2002,1597432
05/31/2002,1676311
06/01/2002,1038487
06/02/2002,661783
06/03/2002,1584925
06/04/2002,1490732
06/05/2002,1607403
06/06/2002,1655623
06/07/2002,1642909
06/08/2002,972716
06/09/2002,675058
06/10/2002,1527577
06/11/2002,1573549
06/12/2002,1593372
06/13/2002,1563185
06/14/2002,1585587
06/15/2002,963347
06/16/2002,682062
06/17/2002,1556837
06/18/2002,1616246
06/19/2002,1611377
06/20/2002,1603894
06/21/2002,1596027
06/22/2002,975183
06/23/2002,676910
06/24/2002,1482392
06/25/2002,1527460
06/26/2002,1480866
06/27/2002,1527728
06/28/2002,1584902
06/29/2002,1006497
06/30/2002,750519
07/01/2002,1550475
07/02/2002,1577532
07/03/2002,1789897
07/04/2002,720330
07/05/2002,1308516
07/06/2002,922711
07/07/2002,702237
07/08/2002,1504925
07/09/2002,1498971
07/10/2002,1532721
07/11/2002,1563933
07/12/2002,1582056
07/13/2002,949266
07/14/2002,673031
07/15/2002,1557792
07/16/2002,1567909
07/17/2002,1527130
07/18/2002,1538931
07/19/2002,1573124
07/20/2002,974770
07/21/2002,641633
07/22/2002,1496321
07/23/2002,1578240
07/24/2002,1563020
07/25/2002,1539869
07/26/2002,1532990
07/27/2002,923464
07/28/2002,629953
07/29/2002,1458471
07/30/2002,1548484
07/31/2002,1516407
08/01/2002,1577123
08/02/2002,1616984
08/03/2002,1000269
08/04/2002,685764
08/05/2002,1511033
08/06/2002,1548403
08/07/2002,1526040
08/08/2002,1534936
08/09/2002,1561047
08/10/2002,1007716
08/11/2002,667858
08/12/2002,1488303
08/13/2002,1450787
08/14/2002,1479665
08/15/2002,1519698
08/16/2002,1496059
08/17/2002,984645
08/18/2002,776166
08/19/2002,1393301
08/20/2002,1505430
08/21/2002,1477390
08/22/2002,1363690
08/23/2002,1473323
08/24/2002,934117
08/25/2002,668560
08/26/2002,1493513
08/27/2002,1520528
08/28/2002,1512518
08/29/2002,1340877
08/30/2002,1595849
08/31/2002,1011929
09/01/2002,734455
09/02/2002,582618
09/03/2002,1732877
09/04/2002,1722590
09/05/2002,1718488
09/06/2002,1717760
09/07/2002,962221
09/08/2002,658658
09/09/2002,1701659
09/10/2002,1691270
09/11/2002,1677194
09/12/2002,1704876
09/13/2002,1719447
09/14/2002,970011
09/15/2002,642739
09/16/2002,1667515
09/17/2002,1708990
09/18/2002,1682925
09/19/2002,1679492
09/20/2002,1645476
09/21/2002,1005536
09/22/2002,632115
09/23/2002,1693313
09/24/2002,1720538
09/25/2002,1730782
09/26/2002,1719768
09/27/2002,1710343
09/28/2002,971035
